Symbol,Name,Latest,Change,%Change,Volume,"3M #Hi","3M %/High","3M %/Low",Time
CLDT,"Chatham Lodging Trust REIT",8.91,-0.01,-0.11%,240802,16,-2.20%,+23.68%,"15:29 ET"
CLSK,"Cleanspark Inc",14.52,1.11,+8.28%,20803881,10,-0.31%,+81.13%,"15:29 ET"
CLYM,"Climb Bio Inc",12.2,0.75,+6.55%,935200,18,-1.26%,+141.21%,"15:29 ET"
CMBT,"Cmb.Tech NV",14.7,-0.43,-2.84%,1352271,12,-2.88%,+25.08%,"15:29 ET"
CMI,"Cummins Inc",712.78,37.9,+5.62%,620780,16,-0.21%,+39.31%,"15:29 ET"
CMP,"Compass Minerals Intl Inc",26.72,0.26,+0.98%,289762,9,-2.56%,+27.38%,"15:28 ET"
CNC,"Centene Corp",55.27,2.29,+4.32%,4522283,15,-0.29%,+74.64%,"15:29 ET"
CNO,"Cno Financial Group",45.65,0.13,+0.29%,268368,5,-0.84%,+17.44%,"15:28 ET"
CNOB,"Connectone Bancorp",30.12,0.040000000000003,+0.13%,124096,8,-1.99%,+22.06%,"15:27 ET"
COHU,"Cohu Inc",49.22,0.77,+1.59%,812699,19,-2.84%,+84.90%,"15:29 ET"
CORT,"Corcept Therapeutics",52.72,1.39,+2.71%,654774,6,-0.14%,+84.46%,"15:27 ET"
CORZ,"Core Scientific Inc",24.27,2.08,+9.37%,30378693,12,-2.72%,+79.42%,"15:29 ET"
CPSS,"Consumer Portfol",10.09,0.17,+1.71%,24156,6,-2.32%,+35.25%,"14:59 ET"
CRBP,"Corbus Pharmaceuticals Hldgs Inc",10.98,0.31,+2.91%,483245,12,-3.35%,+52.50%,"15:26 ET"
CRMD,"Cormedix Inc",8.09,0.36,+4.66%,816700,6,-0.55%,+31.76%,"15:24 ET"
CRS,"Carpenter Technology Corp",459.1,14.11,+3.17%,463416,15,-0.58%,+30.78%,"15:28 ET"
CRWV,"Coreweave Inc Cl A",138.14,10.25,+8.01%,24747037,11,-0.29%,+105.21%,"15:29 ET"
CSTM,"Constellium Se",33.72,0.76,+2.31%,1177098,20,-0.79%,+52.25%,"15:29 ET"
CTEV,"Claritev Corporation",26.64,0.27,+1.02%,50669,3,-2.20%,+121.84%,"15:27 ET"
CTKB,"Cytek Biosciences Inc",4.92,0.14,+2.93%,340090,9,-2.30%,+23.42%,"15:28 ET"
CTLP,"Cantalope Inc",11.19,-0.01,-0.09%,1200900,12,-0.04%,+14.00%,"15:28 ET"
CTRI,"Centuri Holdings Inc",40.67,-0.91,-2.19%,2098503,20,-3.54%,+50.13%,"15:29 ET"
CTS,"Cts Corp",59.67,1.6,+2.76%,201507,3,-0.12%,+31.67%,"15:25 ET"
CUE,"Cue Biopharma Inc",34.42,-0.52,-1.49%,736901,10,-14.29%,+611.93%,"15:29 ET"
CURR,"Currenc Group Inc",3.9,0.42,+12.07%,558306,18,-0.51%,+173.61%,"15:28 ET"
CUZ,"Cousins Properties Inc",26.8,0.75,+2.88%,1129856,5,-1.20%,+27.15%,"15:28 ET"
CVGI,"Commercial Vehicle G",5.15,0.93,+22.04%,1385963,18,-4.44%,+265.96%,"15:26 ET"
CVLT,"Commvault Systems",101.29,-1.49,-1.45%,218467,15,-1.34%,+41.63%,"15:29 ET"
CVS,"CVS Corp",86.95,6.26,+7.76%,11328017,9,-1.81%,+25.19%,"15:29 ET"
CW,"Curtiss-Wright Corp",743.81,14.86,+2.04%,151752,11,-0.52%,+19.09%,"15:29 ET"
CX,"Cemex S.A.B. DE C.V. ADR",13.65,0.78,+6.06%,6331585,4,-0.77%,+36.26%,"15:29 ET"
CXDO,"Crexendo Inc",9.67,1.36,+16.37%,1047759,10,-0.61%,+75.15%,"15:28 ET"
CXW,"Corecivic Inc",21.24,1.82,+9.37%,1160156,10,-1.49%,+34.73%,"15:28 ET"
CYPH,"Cypherpunk Technologies Inc",1.1,0.03,+2.80%,17043502,7,-11.73%,+125.96%,"15:28 ET"
CYRX,"Cryoport Inc",12.6,0.41,+3.36%,835258,13,-4.05%,+65.18%,"15:29 ET"
DAC,"Danaos Corp",130.02,2.51,+1.97%,119685,19,-0.59%,+29.70%,"15:29 ET"
DAO,"Youdao Inc ADR",11.91,0.67,+5.96%,47005,15,-3.57%,+34.20%,"15:18 ET"
DCO,"Ducommun Inc",148.42,5.86,+4.11%,135615,14,-0.72%,+28.32%,"15:24 ET"
DCTH,"Delcath Systems Inc",11.29,-0.24,-2.08%,339863,10,-3.30%,+33.06%,"15:25 ET"
DDD,"3D Systems Corp",2.53,-0.07,-2.69%,2960178,5,-7.35%,+41.57%,"15:18 ET"
DEI,"Douglas Emmett",12.09,0.76,+6.71%,3187068,5,-3.75%,+33.41%,"15:29 ET"
DELL,"Dell Technologies Inc",239.06,22.74,+10.51%,6887880,20,-0.26%,+114.57%,"15:29 ET"
DFSC,"Defsec Technologies Inc",3.5,0.0099999999999998,+0.29%,99718,9,-2.47%,+96.63%,"14:57 ET"
DGII,"Digi Intl Inc",58.72,0.28,+0.48%,152755,18,-0.61%,+35.41%,"15:29 ET"
DGXX,"Digi Power X Inc",6.13,1.02,+19.96%,25694544,16,-0.78%,+241.92%,"15:29 ET"
DHC,"Diversified Healthcare Trust",8.2,0.029999999999999,+0.37%,1112084,17,-2.97%,+44.17%,"15:24 ET"
DIOD,"Diodes Inc",115.71,3.21,+2.85%,491052,18,-1.12%,+97.45%,"15:26 ET"
DLO,"Dlocal Ltd Cl A",14.15,0.45,+3.28%,2156330,10,-2.05%,+26.43%,"15:29 ET"
DMAA,"Drugs Made IN America Acquisition Corp",10.6,0.02,+0.19%,13206,27,0.00%,+1.96%,"14:51 ET"
DOC,"Healthpeak Properties Inc",19.42,2.91,+17.63%,21057151,10,-0.87%,+23.98%,"15:29 ET"
DOCN,"Digitalocean Holdings Inc",159.15,6.38,+4.18%,3504394,18,-0.04%,+212.17%,"15:29 ET"
DRH,"Diamondrock Hospitality Company",10.68,0.039999999999999,+0.38%,1056936,9,-1.98%,+16.00%,"15:28 ET"
DSX,"Diana Shipping Inc",2.68,-0.04,-1.47%,830531,11,-3.61%,+18.67%,"15:27 ET"
DVA,"Davita Healthcare Partners Inc",189.56,32.52,+20.71%,2092362,8,-0.12%,+39.79%,"15:29 ET"
DXPE,"Dxp Enterprise",182.87,3.61,+2.01%,125227,11,-0.88%,+45.44%,"15:26 ET"
ECG,"Everus Construction Group Inc",166.59,-1.73,-1.03%,908698,15,-2.06%,+72.86%,"15:29 ET"
ECPG,"Encore Capital Group",84.98,0.57000000000001,+0.68%,100147,18,-0.70%,+52.22%,"15:27 ET"
ECVT,"Pq Group Holdings Inc",14.59,-0.14,-0.95%,970486,20,-2.01%,+35.81%,"15:28 ET"
EFC,"Ellington Financial Llc",13.61,0.5,+3.81%,1883855,8,-0.22%,+20.67%,"15:28 ET"
EGHT,"8X8 Inc",2.44,-0.32,-11.59%,1798399,4,-15.28%,+53.46%,"15:27 ET"
EGP,"Eastgroup Properties",203.94,3.54,+1.77%,145101,11,-0.56%,+11.80%,"15:26 ET"
ELVR,"Sayona Mining Limited ADR",98,7.49,+8.28%,68284,20,-2.02%,+138.13%,"15:14 ET"
EME,"Emcor Group",943.57,10.3,+1.10%,371823,13,-0.39%,+38.33%,"15:28 ET"
ENIC,"Enersis Chile S.A. ADR",4.68,0.14,+3.08%,420488,8,0.00%,+26.36%,"15:20 ET"
ENLT,"Enlight Renewable Energy Ltd",93.43,2.73,+3.01%,100166,15,-0.92%,+55.18%,"15:25 ET"
ENS,"Enersys Inc",223.18,2.73,+1.24%,163795,18,-0.80%,+48.30%,"15:26 ET"
EOLS,"Evolus Inc",6.41,0.04,+0.63%,1129780,5,-5.63%,+62.95%,"15:29 ET"
EPC,"Edgewell Personal Care",21.65,-1.18,-5.17%,848429,15,-12.65%,+18.64%,"15:29 ET"
ESE,"Esco Technologies Inc",333.87,-5.48,-1.61%,135322,18,-2.61%,+32.37%,"15:27 ET"
ESI,"Element Solutions Inc",44.07,0.079999999999998,+0.18%,1842339,18,-1.31%,+50.41%,"15:29 ET"
EUDA,"Euda Health Holdings Ltd",12.92,-3.39,-20.78%,259450,4,-49.73%,+145.63%,"14:59 ET"
EVC,"Entravision Communications Corp",7.78,3.8,+95.48%,37805037,10,-4.13%,+180.88%,"15:28 ET"
EVLV,"Evolv Technologies Hldgs Inc",7.12,-0.11,-1.52%,1780340,18,-2.64%,+48.10%,"15:29 ET"
EXEL,"Exelixis Inc",48.75,4.33,+9.75%,4015448,9,-0.08%,+22.21%,"15:29 ET"
EXTR,"Extreme Networks",23.45,-0.26,-1.10%,1693836,15,-1.53%,+74.47%,"15:29 ET"
EZPW,"Ezcorp Inc",33.39,-0.02,-0.06%,526405,21,-1.76%,+40.56%,"15:28 ET"
FATE,"Fate Therapeutics",2.245,-0.115,-4.87%,5086069,14,-6.88%,+114.90%,"15:27 ET"
FBP,"First Bancorp",24.27,0.079999999999998,+0.33%,414485,9,-1.40%,+23.38%,"15:27 ET"
FG,"F&G Annuities & Life Inc",29.65,0.23,+0.78%,427931,7,-1.36%,+44.31%,"15:28 ET"
FHB,"First Hawaiian Inc",27.63,0.11,+0.40%,1857565,4,-1.17%,+18.38%,"15:28 ET"
FIX,"Comfort Systems USA",1997.54,30.3,+1.54%,318474,21,-0.86%,+64.13%,"15:29 ET"
FLEX,"Flextronics Intl Ltd",133.23,36.78,+38.13%,15297744,20,-0.04%,+127.42%,"15:29 ET"
FLR,"Fluor Corp",54.18,1.19,+2.25%,1909938,7,-0.90%,+27.56%,"15:29 ET"
FLYW,"Flywire Corp Voting",17.59,3.06,+21.06%,8839536,17,-1.74%,+65.69%,"15:29 ET"
FMX,"Fomento Economico Mexicano S.A.B. DE C.V. ADR",121.98,0.69,+0.57%,451293,10,-1.44%,+21.15%,"15:26 ET"
FPS,"Forgent Power Solutions Inc Cl A",42.5,0.54,+1.29%,3347908,9,-5.00%,+56.27%,"15:29 ET"
FRT,"Federal Realty Investment Trust",116.93,1.64,+1.42%,295621,13,-0.56%,+13.84%,"15:28 ET"
FSTR,"Foster L B Company",41.83,2.09,+5.26%,82870,6,-1.85%,+55.63%,"15:24 ET"
FTRE,"Fortrea Holdings Inc",15.35,0.82,+5.64%,1655354,3,-3.36%,+78.54%,"15:29 ET"
GAIN,"Gladstone Investment",16.67,-0.33,-1.94%,297553,20,-2.04%,+28.07%,"15:29 ET"
GDC,"Gd Culture Group Ltd",1.33,-4.66,-77.80%,10878052,10,-80.38%,+29.41%,"15:29 ET"
GDRX,"Goodrx Holdings Inc Cl A",2.63,0.07,+2.73%,1346673,7,-0.19%,+48.31%,"15:26 ET"
GENK,"Gen Restaurant Group Inc Cl A",2.245,0.355,+18.78%,87316,8,-3.42%,+58.04%,"15:09 ET"
GEO,"Geo Group Inc",22.68,4.32,+23.53%,4272173,13,-2.67%,+80.42%,"15:29 ET"
GFS,"Globalfoundries Inc",70.7,-3.34,-4.51%,5056145,14,-6.02%,+75.09%,"15:29 ET"
GGB,"Gerdau S.A. ADR",4.94,0.14,+2.92%,24145492,6,-0.60%,+57.64%,"15:29 ET"
GHM,"Graham Corp",98.1,0.22,+0.22%,66156,9,-2.84%,+30.79%,"15:19 ET"
GL,"Globe Life Inc",154.58,0.44000000000003,+0.29%,181756,12,-1.63%,+14.11%,"15:28 ET"
GLAD,"Gladstone Cap Corp",19.27,-0.21,-1.08%,143920,7,-1.93%,+16.57%,"15:28 ET"
GLW,"Corning Inc",183.67,21.57,+13.31%,26626140,13,-5.86%,+53.60%,"15:29 ET"
GLXY,"Galaxy Digital Holdings",30.75,0.43,+1.42%,3883662,15,-2.77%,+86.76%,"15:29 ET"
GNRC,"Generac Holdings Inc",265.44,1.76,+0.67%,341335,11,-1.12%,+47.20%,"15:29 ET"
GNW,"Genworth Financial Inc",9.16,0.29,+3.27%,2214841,4,-2.83%,+16.26%,"15:29 ET"
GOOD,"Gladstone Comml",12.45,-0.42,-3.26%,557853,8,-6.21%,+12.90%,"15:28 ET"
GOOG,"Alphabet Cl C",392.47,8.2,+2.13%,13820619,14,-0.70%,+44.96%,"15:29 ET"
GOOGL,"Alphabet Cl A",395.62,7.19,+1.85%,20807589,13,-0.77%,+45.81%,"15:29 ET"
GRC,"Gorman-Rupp Company",77.67,0.23999999999999,+0.31%,76896,11,-2.29%,+36.40%,"15:26 ET"
GSL,"Global Ship Lease Inc",41.75,0.25,+0.60%,174485,13,-0.89%,+16.75%,"15:27 ET"
