Symbol,Name,Latest,Change,%Change,Volume,"3M #Lo","3M %/High","3M %/Low",Time
UTL,"Unitil Corp",49.28,-1.13,-2.24%,166425,4,-10.53%,+0.49%,2026-05-06
VCIG,"Vci Global Limited Ordinary Share",0.9148,-0.0152,-1.63%,118800,39,-96.09%,+3.30%,2026-05-06
VHC,"Virnetx Holding Corp",12.84,0.59,+4.82%,8900,12,-39.77%,+6.87%,2026-05-06
VMAR,"Vision Marine Technologies Inc",0.92,-0.2,-17.86%,3386300,22,-69.42%,+3.37%,2026-05-06
WAY,"Waystar Holding Corp",19.9,-0.72,-3.49%,2467900,10,-28.70%,+0.61%,2026-05-06
WCN,"Waste Connections Inc",153.48,-3.83,-2.43%,2365853,4,-11.76%,+0.11%,2026-05-06
WEX,"Wex Inc",144,-3.23,-2.19%,671779,8,-22.93%,+1.56%,2026-05-06
WGS,"Genedx Holdings Corp",34.71,0.2,+0.58%,4265900,14,-64.33%,+7.76%,2026-05-06
WHLR,"Wheeler Real Estate",1.19,-0.73,-38.02%,821600,32,-85.63%,+15.53%,2026-05-06
WIT,"Wipro Ltd ADR",2,0.01,+0.50%,6971362,16,-21.87%,+1.52%,2026-05-06
WK,"Workiva Llc",51.53,-3.88,-7.00%,2413815,10,-27.42%,+4.23%,2026-05-06
WTO,"Utime Ltd",0.98,-0.16,-14.04%,835100,17,-78.70%,+30.67%,2026-05-06
YOOV,"Concorde International Group Ltd Cl A",1.42,-0.08,-5.33%,22400,10,-40.59%,+0.71%,2026-05-06
YOUL,"Youlife Group Inc ADR",0.9115,0.0615,+7.24%,17800,12,-30.42%,+16.84%,2026-05-06
ZTS,"Zoetis Inc Cl A",111.22,-1.32,-1.17%,5274436,12,-16.05%,+0.25%,2026-05-06
ZURA,"Zura Bio Ltd",4.89,-0.29,-5.60%,1456400,10,-34.27%,+3.38%,2026-05-06
"Downloaded from Barchart.com as of 05-06-2026 07:29pm CDT"
